név;földrész;fõváros;terület;lakosság
Nepál;Ázsia;Katmandu;140800;28300000
Nicaragua;Amerika;Managua;129494;5600000
Niger;Afrika;Niamey;1267000;12500000
Nigéria;Afrika;Abuja;923768;131900000
Norvégia;Európa;Oslo;324220;4600000
Olaszország;Európa;Róma;301230;58100000
Omán;Ázsia;Maszkat;212460;3100000
Oroszország;Ázsia;Moszkva;13083100;38600000
Oroszország;Európa;Moszkva;3960000;104300000
Örményország;Ázsia;Jereván;29800;3000000
Pakisztán;Ázsia;Iszlámábád-Rawalpindi;803940;165800000
Palau;Ausztrália;Koror;458;21000
Panama;Amerika;Panama City;78200;3200000
Pápua Új-Guinea;Ausztrália;Port Moresby;451709;5700000
Paraguay;Amerika;Asunción;406750;6500000
Peru;Amerika;Lima;1285220;28300000
Portugália;Európa;Lisszabon;92391;10600000
Románia;Európa;Bukarest;238391;22300000
Ruanda;Afrika;Kigali;26338;8600000
Saint Kitts és Nevis;Amerika;Basseterre;261;39000
Saint Lucia;Amerika;Castries;616;170000
Saint Vincent;Amerika;Kingstown;389;120000
Salamon-szigetek;Ausztrália;Honiara;27539;550000
Salvador;Amerika;San Salvador;21040;6800000
San Marino;Európa;San Marino;61;29000
Sao Tomé és Príncipe;Afrika;Sao Tomé;1001;190000
Seychelle-szigetek;Afrika;Victoria;376;81000
Sierra Leone;Afrika;Freetown;71740;6000000
Spanyolország;Európa;Madrid;504782;40400000
Srí Lanka;Ázsia;Colombo;65610;20200000
Suriname;Amerika;Paramaribo;163270;440000
Svájc;Európa;Bern;41290;7500000
Svédország;Európa;Stockholm;449964;9000000
Szamoa;Ausztrália;Apia;2849;177000
Szaúd-Arábia;Ázsia;Rijád;1960582;27000000
Szenegál;Afrika;Dakar;196190;11100000
Szerbia;Európa;Belgrád;88361;9400000
Szingapúr;Ázsia;Szingapúr;693;4500000
Szíria;Ázsia;Damaszkusz;185180;18900000
Szlovákia;Európa;Pozsony;48845;5400000
Szlovénia;Európa;Ljubljana;20273;2000000
Szomália;Afrika;Mogadishu;637657;8900000
Szudán;Afrika;Kartúm;2505813;41200000
Szváziföld;Afrika;Mbabane;17363;1100000
Tadzsikisztán;Ázsia;Dusanbe;143100;7300000
Tanzánia;Afrika;Dodoma;945087;37400000
Thaiföld;Ázsia;Bangkok;514000;64600000
Togo;Afrika;Lomé;56785;5500000
Tonga;Ausztrália;Nuku'alofa;717;110000
Törökország;Ázsia;Ankara;780580;70400000
Trinidad és Tobago;Amerika;Port of Spain;5128;1100000
Tunézia;Afrika;Tunisz;163610;10200000
Tuvalu;Ausztrália;Vaiaku;26;12000
Türkmenisztán;Ázsia;Asgabat;488100;5000000
Uganda;Afrika;Kampala;236040;28200000
Új-Zéland;Ausztrália;Wellington;268671;4100000
Ukrajna;Európa;Kijev;603700;46700000
Uruguay;Amerika;Montevideo;176220;3400000
Üzbegisztán;Ázsia;Taskent;447400;27300000
Vanuatu;Ausztrália;Port Vila;14760;210000
Venezuela;Amerika;Caracas;912050;25700000
Vietnam;Ázsia;Hanoi;329560;84400000
Zambia;Afrika;Lusaka;752614;11500000
Zimbabwe;Afrika;Harare;390580;12200000
Zöld-foki-szigetek;Afrika;Praia;4033;420000
